ano,questao,disciplina,primario,secundarios,resumo
2025,1,MAT,M20,M04,"probabilidade de cupom 1-60 não ser múltiplo de 3 nem de 5"
2025,2,MAT,M10,M08,"variação percentual do preço de ação + metade do aumento"
2025,3,MAT,M06,M04,"MDC de 3 cordas e classificar o resultado (primo, divisores)"
2025,4,MAT,M09,M04,"3 expressões com frações e decimais formam senha; divisibilidade"
2025,5,MAT,M14,M15|M08|M17,"volume da mala em litros (cm/dm/mm) + taxa por kg excedente"
2025,6,MAT,M08,M17,"conversão de dólares e reais para rands (multiplicar e dividir decimais)"
2025,7,MAT,M07,M02,"frações do percurso total; distância de dois trechos"
2025,8,MAT,M10,M15,"75% do volume da pirâmide; resto em dam³"
2025,9,MAT,M18,M19|M10|M20,"gráfico de fotos: média, porcentagem e probabilidade"
2025,10,MAT,M13,,"planificação de cilindro e pirâmide quadrangular"
2025,11,MAT,M16,,"hora de chegada com duração do voo e fuso horário"
2025,12,MAT,M12,M15|M10,"área na malha quadriculada em dm² + porcentagem de quadrados"
2025,13,MAT,M05,M16,"MMC de intervalos de ônibus/trem/avião em horas e minutos"
2025,14,MAT,M07,,"fração restante após consumir 1/2, 3/8 e 1/16"
2025,15,MAT,M07,M19|M15|M16,"lados do triângulo (fração e média) em hm; tempo a 69 m/min"
2025,16,MAT,M10,M17|M08,"desconto 5%, parcelas, acréscimo 6% em passagens"
2025,17,MAT,M01,,"ordens, classes e valor posicional de 18.900.000"
2025,18,MAT,M14,M15|M10,"volume da piscina (cm, m, hm) em litros; 95% da capacidade"
2025,19,MAT,M13,M07,"fração vértices/arestas de cubo, paralelepípedo, prisma, pirâmide"
2025,20,MAT,M12,M07|M10|M15,"perímetro do retângulo (largura 7/9) +12% em dam"
2025,21,PORT,P06,,"finalidade do texto jornalístico sobre água"
2025,22,PORT,P02,P12,"substituir 'fundamental' mantendo o sentido"
2025,23,PORT,P01,,"em qual parágrafo está determinada informação"
2025,24,PORT,P12,,"sentido oposto de 'parcela expressiva'"
2025,25,PORT,P12,,"sentido oposto de 'simultaneamente'"
2025,26,PORT,P07,,"o que a expressão 'a situação' retoma"
2025,27,PORT,P11,,"vírgula com a mesma justificativa (isto é / ou seja)"
2025,28,PORT,P16,,"formação da palavra 'desmatamento' (derivação)"
2025,29,PORT,P05,P09,"temática da tirinha pai e filho: água e amor"
2025,30,PORT,P15,,"classe gramatical de 5 palavras da tirinha"
2025,31,PORT,P19,P07,"pronome 'essa': tipo e o que retoma"
2025,32,PORT,P05,,"relacionar quadrinho de uma tirinha com outra (verbal e não verbal)"
2025,33,PORT,P14,P03,"o que revela 'gotas de chuva são lágrimas na inundação'"
2025,34,PORT,P12,P14,"efeito de sentido da oposição 'movem' × 'encharcam'"
2025,35,PORT,P17,,"regras de acentuação de céu, igarapés, lágrimas"
2025,36,PORT,P03,P05,"inferir da tirinha: captação de água da chuva"
2025,37,PORT,P18,,"tempos e modos verbais de faltou, caiu, temos, diria"
2025,38,PORT,P13,,"uso das reticências no quadrinho"
2025,39,PORT,P09,P05,"tema principal da charge"
2025,40,PORT,P10,P05,"por que há ironia na charge dos lenhadores"
